,_id,btce-price,btce-buy,btce-volume,btce-low,btce-sell,btce-high,btce-time_stamp,cd-value,epoch,btce-err,cd-updated,cd-price,cd-err
40,57ff1c429335c039eb7f1cb0,635.889,635.89,2775221.84549,630.0,634.312,638.58,1476336704.0,1,40,0,1476336660.0,635.9213,0.0
41,57ff1c519335c039eb7f1cb2,634.313,635.889,2775239.4352,630.0,634.313,638.58,1476336720.0,false,41,0,,,
42,57ff1c609335c039eb7f1cb4,635.889,635.89,2775239.4352,630.0,634.312,638.58,1476336735.0,false,42,0,,,
43,57ff1c6f9335c039eb7f1cb7,635.889,635.889,2775239.4352,630.0,634.313,638.58,1476336751.0,false,43,0,,,
44,57ff1c7e9335c039eb7f1cba,635.889,635.889,2775239.4352,630.0,634.313,638.58,1476336765.0,1,44,0,1476336720.0,635.8788,0.0
45,57ff1c8d9335c039eb7f1cbc,635.889,635.89,2775239.4352,630.0,634.312,638.58,1476336779.0,false,45,0,,,
46,57ff1c9c9335c039eb7f1cbe,635.889,635.889,2775109.63073,630.0,634.313,638.58,1476336795.0,false,46,0,,,
47,57ff1cab9335c039eb7f1cc1,635.889,635.89,2775109.63073,630.0,634.312,638.58,1476336809.0,false,47,0,,,
48,57ff1cba9335c039eb7f1cc4,635.889,635.889,2775109.63073,630.0,634.313,638.58,1476336825.0,1,48,0,1476336780.0,635.6975,0.0
49,57ff1cc99335c039eb7f1cc6,635.889,635.89,2775109.63073,630.0,634.312,638.58,1476336839.0,false,49,0,,,
50,57ff1cd89335c039eb7f1cc8,635.889,635.889,2774682.1093099997,630.0,634.313,638.58,1476336855.0,false,50,0,,,
51,57ff1ce79335c039eb7f1cca,634.313,635.89,2774682.1093099997,630.0,634.313,638.58,1476336869.0,false,51,0,,,
52,57ff1cf69335c039eb7f1ccc,634.313,635.889,2774682.1093099997,630.0,634.313,638.58,1476336885.0,1,52,0,1476336840.0,635.9163,0.0
53,57ff1d059335c039eb7f1ccf,634.313,635.889,2774682.1093099997,630.0,634.313,638.58,1476336900.0,false,53,0,,,
54,57ff1d149335c039eb7f1cd2,634.313,635.889,2775491.46477,630.0,634.313,638.58,1476336916.0,false,54,0,,,
55,57ff1d239335c039eb7f1cd5,634.313,635.889,2775491.46477,630.0,634.313,638.58,1476336930.0,false,55,0,,,
56,57ff1d329335c039eb7f1cd7,634.313,635.889,2775491.46477,630.0,634.312,638.58,1476336944.0,1,56,0,1476336900.0,635.9063,0.0
57,57ff1d419335c039eb7f1cda,634.313,635.889,2775491.46477,630.0,634.313,638.58,1476336960.0,false,57,0,,,
58,57ff1d509335c039eb7f1cdd,634.313,635.89,2774344.2075799997,630.0,634.312,638.58,1476336974.0,false,58,0,,,
59,57ff1d5f9335c039eb7f1cdf,634.313,635.889,2774344.2075799997,630.0,634.313,638.58,1476336990.0,false,59,0,,,
60,57ff1d6e9335c039eb7f1ce1,634.313,635.89,2774344.2075799997,630.0,635.889,638.58,1476337004.0,1,60,0,1476336960.0,635.985,0.0
61,57ff1d7d9335c039eb7f1ce3,635.89,635.9,2774424.41884,630.0,635.89,638.58,1476337020.0,false,61,0,,,
62,57ff1d8c9335c039eb7f1ce5,635.89,635.9,2774424.41884,630.0,635.89,638.58,1476337034.0,false,62,0,,,
63,57ff1d9b9335c039eb7f1ce8,635.89,635.9,2774424.41884,630.0,635.889,638.58,1476337051.0,false,63,0,,,
64,57ff1daa9335c039eb7f1ceb,635.89,635.9,2774424.41884,630.0,635.89,638.58,1476337065.0,1,64,0,1476337020.0,636.0363,0.0
65,57ff1db99335c039eb7f1ced,635.89,635.9,2774424.41884,630.0,635.89,638.58,1476337079.0,false,65,0,,,
66,57ff1dc89335c039eb7f1cf1,635.89,635.9,2774342.1257700003,630.0,635.89,638.58,1476337095.0,false,66,0,,,
67,57ff1dd79335c039eb7f1cf4,635.89,635.9,2774342.1257700003,630.0,635.89,638.58,1476337109.0,false,67,0,,,
68,57ff1de69335c039eb7f1cf7,635.89,635.9,2774342.1257700003,630.0,635.89,638.58,1476337125.0,1,68,0,1476337080.0,636.2713,0.0
69,57ff1df59335c039eb7f1cfa,635.89,635.9,2774342.1257700003,630.0,635.89,638.58,1476337139.0,false,69,0,,,
70,57ff1e049335c039eb7f1cfe,635.89,635.899,2774319.3557700003,630.0,635.89,638.58,1476337155.0,false,70,0,,,
71,57ff1e139335c039eb7f1d00,635.89,635.89,2774319.3557700003,630.0,635.889,638.58,1476337169.0,false,71,0,,,
72,57ff1e229335c039eb7f1d02,635.9,635.9,2774319.3557700003,630.0,635.899,638.58,1476337186.0,1,72,0,1476337140.0,636.1675,0.0
73,57ff1e319335c039eb7f1d09,635.9,635.9,2774319.3557700003,630.0,635.899,638.58,1476337200.0,false,73,0,,,
74,57ff1e409335c039eb7f1d0d,635.9,635.9,2774358.2011,630.0,635.899,638.58,1476337216.0,false,74,0,,,
75,57ff1e4f9335c039eb7f1d10,635.899,635.9,2774358.2011,630.0,635.899,638.58,1476337230.0,false,75,0,,,
76,57ff1e5e9335c039eb7f1d12,635.899,635.9,2774358.2011,630.0,635.899,638.58,1476337244.0,1,76,0,1476337200.0,636.1063,0.0
77,57ff1e6d9335c039eb7f1d15,635.899,635.9,2774363.81806,630.0,635.899,638.58,1476337260.0,false,77,0,,,
78,57ff1e7c9335c039eb7f1d17,635.899,635.9,2774363.81806,630.0,635.899,638.58,1476337274.0,false,78,0,,,
79,57ff1e8b9335c039eb7f1d19,635.899,635.9,2774363.81806,630.0,635.899,638.58,1476337290.0,false,79,0,,,
80,57ff1e9a9335c039eb7f1d1b,635.899,635.9,2774363.81806,630.0,635.899,638.58,1476337305.0,1,80,0,1476337260.0,636.2325,0.0
81,57ff1ea99335c039eb7f1d1d,635.9,635.95,2774375.5413,630.0,635.9,638.58,1476337321.0,false,81,0,,,
82,57ff1eb89335c039eb7f1d20,635.9,635.95,2774375.5413,630.0,635.9,638.58,1476337335.0,false,82,0,,,
83,57ff1ec79335c039eb7f1d23,635.9,635.95,2774375.5413,630.0,635.9,638.58,1476337349.0,false,83,0,,,
84,57ff1ed69335c039eb7f1d25,635.95,635.95,2774375.5413,630.0,635.889,638.58,1476337365.0,1,84,0,1476337320.0,636.2088,0.0
85,57ff1ee59335c039eb7f1d27,635.95,635.996,2774375.5413,630.0,635.95,638.58,1476337379.0,false,85,0,,,
86,57ff1ef49335c039eb7f1d29,635.95,635.996,2779015.95211,630.0,635.95,638.58,1476337395.0,false,86,0,,,
87,57ff1f039335c039eb7f1d2b,635.996,635.996,2779015.95211,630.0,635.95,638.58,1476337409.0,false,87,0,,,
88,57ff1f129335c039eb7f1d2d,635.95,635.996,2779015.95211,630.0,635.95,638.58,1476337426.0,1,88,0,1476337380.0,636.2163,0.0
89,57ff1f219335c039eb7f1d2f,635.17,635.599,2779015.95211,630.0,635.17,638.58,1476337440.0,false,89,0,,,
90,57ff1f309335c039eb7f1d34,635.6,635.599,2782739.22192,630.0,634.64,638.58,1476337456.0,false,90,0,,,
91,57ff1f3f9335c039eb7f1d37,634.641,635.599,2782739.22192,630.0,635.4,638.58,1476337470.0,false,91,0,,,
92,57ff1f4e9335c039eb7f1d3a,635.2,635.599,2782739.22192,630.0,635.2,638.58,1476337484.0,1,92,0,1476337440.0,636.16,0.0
93,57ff1f5d9335c039eb7f1d3d,635.599,635.599,2782739.22192,630.0,634.641,638.58,1476337500.0,false,93,0,,,
94,57ff1f6c9335c039eb7f1d41,635.6,635.6,2784162.1789599997,630.0,634.64,638.58,1476337514.0,false,94,0,,,
95,57ff1f7b9335c039eb7f1d44,635.599,635.599,2784162.1789599997,630.0,634.641,638.58,1476337530.0,false,95,0,,,
96,57ff1f8a9335c039eb7f1d46,634.641,635.599,2784162.1789599997,630.0,634.641,638.58,1476337544.0,1,96,0,1476337500.0,636.1475,0.0
97,57ff1f999335c039eb7f1d48,635.599,635.599,2785648.8796599996,630.0,634.641,638.58,1476337561.0,false,97,0,,,
98,57ff1fa89335c039eb7f1d4a,635.599,635.599,2785648.8796599996,630.0,634.641,638.58,1476337575.0,false,98,0,,,
99,57ff1fb79335c039eb7f1d4c,634.64,635.599,2785648.8796599996,630.0,634.64,638.58,1476337591.0,false,99,0,,,
100,57ff1fc69335c039eb7f1d4f,634.641,635.599,2785648.8796599996,630.0,634.641,638.58,1476337605.0,1,100,0,1476337560.0,636.1963,0.0
101,57ff1fd59335c039eb7f1d51,635.599,635.599,2785648.8796599996,630.0,634.641,638.58,1476337619.0,false,101,0,,,
102,57ff1fe49335c039eb7f1d53,634.64,635.599,2787042.37622,630.0,634.64,638.58,1476337635.0,false,102,0,,,
103,57ff1ff39335c039eb7f1d55,634.641,635.599,2787042.37622,630.0,634.641,638.58,1476337649.0,false,103,0,,,
104,57ff20029335c039eb7f1d58,634.641,635.6,2787042.37622,630.0,634.641,638.58,1476337665.0,1,104,0,1476337620.0,636.155,0.0
105,57ff20119335c039eb7f1d5a,634.641,635.599,2787042.37622,630.0,634.641,638.58,1476337679.0,false,105,0,,,
106,57ff20209335c039eb7f1d5c,635.6,635.599,2787511.88452,630.0,634.673,638.58,1476337695.0,false,106,0,,,
107,57ff202f9335c039eb7f1d5e,635.6,635.6,2787511.88452,630.0,634.672,638.58,1476337709.0,false,107,0,,,
108,57ff203e9335c039eb7f1d61,635.6,635.599,2787511.88452,630.0,634.673,638.58,1476337726.0,1,108,0,1476337680.0,636.17,0.0
109,57ff204d9335c039eb7f1d64,635.6,635.6,2787511.88452,630.0,634.672,638.58,1476337740.0,false,109,0,,,
110,57ff205c9335c039eb7f1d66,634.672,635.599,2787699.13589,630.0,634.673,638.58,1476337756.0,false,110,0,,,
111,57ff206b9335c039eb7f1d6a,634.672,635.599,2787699.13589,630.0,634.673,638.58,1476337770.0,false,111,0,,,
