,_id,threshold_setting,prev_tx_count_in,prev_mass_out,prev_value_in,epoch,epoch_time_stamp,prev_mass_in,prev_value_out,prev_tx_count_out
59,57ff1d5f9335c039eb7f1cde,50.0,29,0,9452431439,59,1476336991.070506,0,7945707408,29
60,57ff1d6e9335c039eb7f1ce0,50.0,47,0,21872435890,60,1476337006.0730839,0,10880338468,47
61,57ff1d7d9335c039eb7f1ce2,50.0,32,0,8913505534,61,1476337021.076208,0,6196194504,32
62,57ff1d8c9335c039eb7f1ce4,50.0,41,0,10721028333,62,1476337036.079657,0,9857187175,41
63,57ff1d9b9335c039eb7f1ce7,50.0,18,0,177925147232,63,1476337051.081147,0,177778476529,18
64,57ff1daa9335c039eb7f1cea,50.0,25,0,18029930076,64,1476337066.082367,0,17571773356,25
65,57ff1db99335c039eb7f1cec,50.0,37,0,19116173781,65,1476337081.083631,0,18510638398,37
66,57ff1dc89335c039eb7f1cf0,50.0,30,0,94305524525,66,1476337096.08682,0,93134342858,30
67,57ff1dd79335c039eb7f1cf3,50.0,34,0,39047702611,67,1476337111.089086,0,38691742037,34
68,57ff1de69335c039eb7f1cf6,50.0,34,0,25735216630,68,1476337126.091199,0,25726707369,34
69,57ff1df59335c039eb7f1cf9,50.0,40,0,12432068845,69,1476337141.092686,0,12417424033,40
70,57ff1e049335c039eb7f1cfd,50.0,34,0,19948595963,70,1476337156.094012,0,15343029192,34
71,57ff1e139335c039eb7f1cff,50.0,31,0,8672614710,71,1476337171.095268,0,7714059755,31
72,57ff1e229335c039eb7f1d01,50.0,36,0,9651492996,72,1476337186.096674,0,8326801387,36
73,57ff1e319335c039eb7f1d08,50.0,33,0,47500690760,73,1476337201.0978081,0,47408890106,33
74,57ff1e409335c039eb7f1d0c,50.0,46,0,30100196305,74,1476337216.100504,0,27845328853,46
75,57ff1e4f9335c039eb7f1d0f,50.0,36,0,20268920574,75,1476337231.105362,0,19952245733,36
76,57ff1e5e9335c039eb7f1d11,50.0,31,0,8797249975,76,1476337246.106868,0,7039321607,31
77,57ff1e6d9335c039eb7f1d14,50.0,25,0,8434803928,77,1476337261.109651,0,8329377700,25
78,57ff1e7c9335c039eb7f1d16,50.0,22,0,9858018227,78,1476337276.114317,0,9378951770,22
79,57ff1e8b9335c039eb7f1d18,50.0,28,0,4344799976,79,1476337291.115398,0,3893270175,28
